seed,setting,model,span_rank,benchmark_mae,deployment_residual,certified_fraction
4008,null_equal_noise,A,3,0.07798672399129768,0.7876859087382949,0.12
4008,null_equal_noise,B,4,0.08424064979539167,0.711553014472531,0.19
4008,null_equal_noise,C,6,0.08644498978756177,0.5065683982106768,0.68
4008,null_equal_noise,D,7,0.08002028184472891,0.3481661795091054,0.93
4008,null_equal_noise,E,8,0.07650548673435907,0.10393975331885634,1.0
3009,structured,A,3,0.03379435355666371,0.7931447547075626,0.09
3009,structured,B,4,0.05157321201123425,0.7252473852815654,0.12
3009,structured,C,6,0.08742308487480842,0.40501213850674256,0.74
3009,structured,D,7,0.12786568038768395,0.4250200992798845,0.74
3009,structured,E,8,0.1780184561020423,0.06330883051195237,1.0
4009,null_equal_noise,A,3,0.0743562285487978,0.7905839699819337,0.04
4009,null_equal_noise,B,4,0.07866112601522471,0.7267430151276725,0.14
4009,null_equal_noise,C,6,0.08284930851122796,0.43458034646909965,0.83
4009,null_equal_noise,D,7,0.08192500977217532,0.3061409060720329,1.0
4009,null_equal_noise,E,8,0.07237749532556029,0.16198894874033704,1.0
3010,structured,A,3,0.0323132455217817,0.7919100890077526,0.05
3010,structured,B,4,0.05456896947656716,0.7188379752335783,0.17
3010,structured,C,6,0.08550760309909822,0.4206641371321458,0.87
3010,structured,D,7,0.12170218260492216,0.43658226492227614,0.86
3010,structured,E,8,0.17343635391487805,0.126616579590667,1.0
4010,null_equal_noise,A,3,0.07653616632170153,0.8065762516316403,0.08
4010,null_equal_noise,B,4,0.07564221671373034,0.6974467318010692,0.19
4010,null_equal_noise,C,6,0.08005236352687435,0.5212562660664983,0.54
4010,null_equal_noise,D,7,0.07843805585860207,0.3987336039782272,0.86
4010,null_equal_noise,E,8,0.08021622163034339,0.09404078184481643,1.0
3011,structured,A,3,0.032238365725518324,0.7690135588900167,0.1
3011,structured,B,4,0.05345457002756581,0.7221879207501227,0.22
3011,structured,C,6,0.08913078613688717,0.5110242626412557,0.62
3011,structured,D,7,0.13056097110989298,0.3907706270449316,0.98
3011,structured,E,8,0.18155321611430428,0.02501995612812289,1.0
4011,null_equal_noise,A,3,0.08041419426787126,0.7617876626691519,0.11
4011,null_equal_noise,B,4,0.07943266373348032,0.7247821350726192,0.21
4011,null_equal_noise,C,6,0.07880760941560319,0.5394558484014342,0.53
4011,null_equal_noise,D,7,0.07868382523614247,0.31673305365837134,1.0
4011,null_equal_noise,E,8,0.07879492211124221,0.10036245195564863,1.0
3012,structured,A,3,0.03163084620655723,0.7865610927441666,0.04
3012,structured,B,4,0.05435888324884125,0.6997139089793744,0.24
3012,structured,C,6,0.08360041294141572,0.43895837098767465,0.69
3012,structured,D,7,0.13539742997007398,0.27532271645789186,0.99
3012,structured,E,8,0.18035096016501814,0.03159831517917177,1.0
4012,null_equal_noise,A,3,0.0822109565473458,0.8082861257606622,0.08
4012,null_equal_noise,B,4,0.07900963652221522,0.7481345310283465,0.11
4012,null_equal_noise,C,6,0.07774757710553362,0.504189436839975,0.72
4012,null_equal_noise,D,7,0.07978110868376079,0.3278009825657525,1.0
4012,null_equal_noise,E,8,0.075317707811322,0.06575562935146498,1.0
3013,structured,A,3,0.03039792427001705,0.822076981886951,0.04
3013,structured,B,4,0.05469019775841971,0.6847141980153535,0.18
3013,structured,C,6,0.08882545709263652,0.3955901700460961,0.9
3013,structured,D,7,0.1300988253680622,0.36091429369176703,1.0
3013,structured,E,8,0.17795969196133046,0.17254709119601136,1.0
4013,null_equal_noise,A,3,0.07680347383567308,0.7984084553424187,0.06
4013,null_equal_noise,B,4,0.07839053710549027,0.6836002494062166,0.22
4013,null_equal_noise,C,6,0.07889723691562511,0.40897393973164714,0.77
4013,null_equal_noise,D,7,0.07930284408666005,0.33614753869099534,0.96
4013,null_equal_noise,E,8,0.08005068389157877,0.03855081225037686,1.0
3014,structured,A,3,0.031537469223727396,0.7575961060731029,0.15
3014,structured,B,4,0.05732071325486471,0.7295083685648133,0.16
3014,structured,C,6,0.08816059972101259,0.5315594857877664,0.61
3014,structured,D,7,0.12022163040845245,0.39605408200052594,0.91
3014,structured,E,8,0.17726401173806258,0.10475806476337425,1.0
4014,null_equal_noise,A,3,0.0791868779618644,0.7822935102172093,0.06
4014,null_equal_noise,B,4,0.0805553008805764,0.6872650445651003,0.21
4014,null_equal_noise,C,6,0.07609547445912852,0.5404005189412637,0.47
4014,null_equal_noise,D,7,0.08073853038954135,0.3009868207656105,1.0
4014,null_equal_noise,E,8,0.07716582623223385,0.17084995485209747,1.0
3015,structured,A,3,0.0335092303397903,0.8083496512157884,0.06
3015,structured,B,4,0.05241099184251283,0.671922365977952,0.23
3015,structured,C,6,0.0912382245100108,0.5314775141807236,0.56
3015,structured,D,7,0.12397079355916199,0.2858919652996838,1.0
3015,structured,E,8,0.18685390086449935,0.08495352855600502,1.0
4015,null_equal_noise,A,3,0.08094363320873842,0.7838070950085605,0.1
4015,null_equal_noise,B,4,0.07858670111657585,0.7464890676155889,0.14
4015,null_equal_noise,C,6,0.0822895322557255,0.5880101076532446,0.43
4015,null_equal_noise,D,7,0.07921602586568716,0.32416068960324035,1.0
4015,null_equal_noise,E,8,0.08126282594345247,0.12865575355730643,1.0
3016,structured,A,3,0.031130040474526107,0.7600672097649377,0.12
3016,structured,B,4,0.054934693539395535,0.7458879936246468,0.15
3016,structured,C,6,0.08267908024679908,0.47486833177604204,0.74
3016,structured,D,7,0.12621690587198614,0.3418701274529985,1.0
3016,structured,E,8,0.17464542597861116,0.06564475138636729,1.0
4016,null_equal_noise,A,3,0.07991370913922408,0.8140122324937006,0.09
4016,null_equal_noise,B,4,0.08113665779104988,0.7019832744871995,0.18
4016,null_equal_noise,C,6,0.08277162714491235,0.5270150088142342,0.55
4016,null_equal_noise,D,7,0.08041238333351296,0.35195424574195844,0.94
4016,null_equal_noise,E,8,0.07673429046338197,0.13647126508529098,1.0
3017,structured,A,3,0.032348490358538415,0.7733295473342303,0.04
3017,structured,B,4,0.05536329339507508,0.693904507125819,0.06
3017,structured,C,6,0.08777062496331763,0.4633879569879857,0.66
3017,structured,D,7,0.1251234856494377,0.34390441047520665,0.95
3017,structured,E,8,0.16866821276946098,0.07284130500379771,1.0
4017,null_equal_noise,A,3,0.08466619978596025,0.7610195423258065,0.11
4017,null_equal_noise,B,4,0.08115144916809955,0.6901198046989375,0.22
4017,null_equal_noise,C,6,0.08677549188157496,0.44525560886122323,0.68
4017,null_equal_noise,D,7,0.08218197620312376,0.4458333857612011,0.72
4017,null_equal_noise,E,8,0.07633549799696851,0.1093086267210107,1.0
3018,structured,A,3,0.032864233451581,0.7711650785579937,0.03
3018,structured,B,4,0.05758108056829091,0.6737259697704944,0.18
3018,structured,C,6,0.0872747080083069,0.49766678728482316,0.67
3018,structured,D,7,0.12816968017688746,0.3514361931712797,0.91
3018,structured,E,8,0.17409778451587057,0.11616049134399796,1.0
4018,null_equal_noise,A,3,0.08170236854238239,0.7994707874305145,0.05
4018,null_equal_noise,B,4,0.077274270862443,0.7039942849253462,0.21
4018,null_equal_noise,C,6,0.08248034424510725,0.5454913379326018,0.56
4018,null_equal_noise,D,7,0.07810280507518619,0.3662107801460568,0.88
4018,null_equal_noise,E,8,0.07867379309315171,0.03940780539464659,1.0
3019,structured,A,3,0.032711650717398996,0.8046390077949095,0.03
3019,structured,B,4,0.05610470956615289,0.7396933625496216,0.07
3019,structured,C,6,0.08356074858143714,0.45062825282341906,0.67
3019,structured,D,7,0.1291308585148758,0.32907879780007443,0.99
3019,structured,E,8,0.1851428153177809,0.03258444718588998,1.0
4019,null_equal_noise,A,3,0.08368198023243678,0.8255644469105166,0.06
4019,null_equal_noise,B,4,0.07903069846764359,0.7266034925830471,0.13
4019,null_equal_noise,C,6,0.0795146332712409,0.5601383356479811,0.49
4019,null_equal_noise,D,7,0.07919942670353358,0.3785629976145353,0.95
4019,null_equal_noise,E,8,0.07634205243728899,0.06274337698126459,1.0
3020,structured,A,3,0.032719113017992116,0.8084189575062047,0.04
3020,structured,B,4,0.057102778994892404,0.7280008328950275,0.16
3020,structured,C,6,0.08047413509145906,0.5070692095169098,0.76
3020,structured,D,7,0.12532303256584412,0.3695633026779658,0.96
3020,structured,E,8,0.1780115034077101,0.036030915254780235,1.0
4020,null_equal_noise,A,3,0.0820344331581261,0.8048941891539216,0.05
4020,null_equal_noise,B,4,0.07793180193880789,0.6750443410578979,0.24
4020,null_equal_noise,C,6,0.0792605175449429,0.5000930270110301,0.57
4020,null_equal_noise,D,7,0.08008808072250101,0.41719124344344505,0.8
4020,null_equal_noise,E,8,0.08212234378991218,0.11599304718370325,1.0
3021,structured,A,3,0.0321295961457979,0.7832226673951526,0.08
3021,structured,B,4,0.05763912854025745,0.7201010532451723,0.14
3021,structured,C,6,0.08597124538519071,0.444140004415509,0.72
3021,structured,D,7,0.1206649531556223,0.3925402849143441,0.9
3021,structured,E,8,0.17794069986625596,0.09705085993975399,1.0
4021,null_equal_noise,A,3,0.07955560877778711,0.7843925734070422,0.07
4021,null_equal_noise,B,4,0.08008585907459306,0.7241558530468056,0.12
4021,null_equal_noise,C,6,0.07958444797035152,0.5127772990449397,0.71
4021,null_equal_noise,D,7,0.08324611197105095,0.3140410812315607,0.97
4021,null_equal_noise,E,8,0.07608115422062038,0.01706587382287075,1.0
3022,structured,A,3,0.032187699428660566,0.7971233633550865,0.05
3022,structured,B,4,0.05815079449580105,0.7326823007485882,0.16
3022,structured,C,6,0.0922872693857229,0.4508182790960129,0.8
3022,structured,D,7,0.12804476587833763,0.3283914730861123,1.0
3022,structured,E,8,0.16840284543502157,0.0520310284396527,1.0
4022,null_equal_noise,A,3,0.07616615322566572,0.7942758880165435,0.05
4022,null_equal_noise,B,4,0.08015850396441486,0.7165142351728311,0.12
4022,null_equal_noise,C,6,0.07878785010153853,0.5154341062908259,0.51
4022,null_equal_noise,D,7,0.07928888850360757,0.4061696234880392,0.79
4022,null_equal_noise,E,8,0.08036462728815716,0.16332938306263495,1.0
3023,structured,A,3,0.03151081926796285,0.7951169292357894,0.05
3023,structured,B,4,0.05704461447978162,0.6634577957668135,0.19
3023,structured,C,6,0.0883094391703461,0.431840951518341,0.78
3023,structured,D,7,0.12493429617668626,0.41396597113729205,0.84
3023,structured,E,8,0.17705991500579443,0.14022331215499365,1.0
4023,null_equal_noise,A,3,0.07702824345060749,0.7902073616709218,0.06
4023,null_equal_noise,B,4,0.0775710706260013,0.7624775158334735,0.11
4023,null_equal_noise,C,6,0.08106182711205005,0.42842747815990445,0.8
4023,null_equal_noise,D,7,0.08134731323199028,0.28444579850448426,1.0
4023,null_equal_noise,E,8,0.08006566574639583,0.07359862289814226,1.0
3024,structured,A,3,0.03273184870282165,0.7806720042308675,0.1
3024,structured,B,4,0.05626248215245044,0.7227063687919103,0.18
3024,structured,C,6,0.08949602480868228,0.4759707207109266,0.73
3024,structured,D,7,0.1292463674717158,0.4297940368056832,0.77
3024,structured,E,8,0.17785855937760606,0.11326977639170495,1.0
4024,null_equal_noise,A,3,0.07519519300538596,0.7795617235961897,0.09
4024,null_equal_noise,B,4,0.07924102112979228,0.6904189273947663,0.22
4024,null_equal_noise,C,6,0.08367639279634258,0.5294777293637332,0.62
4024,null_equal_noise,D,7,0.0752422791463437,0.21030125133452326,1.0
4024,null_equal_noise,E,8,0.07664055800639559,0.04422060757213793,1.0
3025,structured,A,3,0.030364677907375646,0.773241696532957,0.05
3025,structured,B,4,0.05715821672049458,0.7348901628157017,0.14
3025,structured,C,6,0.0865383013502479,0.6305500584530156,0.32
3025,structured,D,7,0.12216676464903697,0.361932545194688,0.95
3025,structured,E,8,0.17910148200847756,0.09309422853327602,1.0
4025,null_equal_noise,A,3,0.08101422553587759,0.7985073399058046,0.03
4025,null_equal_noise,B,4,0.0799047419186735,0.6915993781551429,0.18
4025,null_equal_noise,C,6,0.07416028648408211,0.5868379201318991,0.42
4025,null_equal_noise,D,7,0.07458524796454097,0.3912938763199479,0.88
4025,null_equal_noise,E,8,0.08124061707640873,0.1531091709669547,1.0
3026,structured,A,3,0.03257349082909285,0.7995119531893637,0.06
3026,structured,B,4,0.06005662931774445,0.7484398608024342,0.08
3026,structured,C,6,0.08638937506622586,0.4679223460306649,0.74
3026,structured,D,7,0.1314443150105416,0.38701722945969846,0.89
3026,structured,E,8,0.16152225049029204,0.03731214730413656,1.0
4026,null_equal_noise,A,3,0.07858083181660717,0.780755280448178,0.08
4026,null_equal_noise,B,4,0.08194085958246902,0.7077432297095233,0.24
4026,null_equal_noise,C,6,0.0751998365195098,0.47652642383777655,0.72
4026,null_equal_noise,D,7,0.07947470334078488,0.36259277328983147,0.9
4026,null_equal_noise,E,8,0.07753481551051118,0.07864701970193323,1.0
3027,structured,A,3,0.03318497273382645,0.7685211589872648,0.08
3027,structured,B,4,0.055551235067411185,0.7831066877288608,0.02
3027,structured,C,6,0.08984391943329703,0.5301355762567778,0.6
3027,structured,D,7,0.1249432127887767,0.5050163513125808,0.71
3027,structured,E,8,0.17730122997265307,0.10900570246034623,1.0
4027,null_equal_noise,A,3,0.08078708338988855,0.7793557339055841,0.09
4027,null_equal_noise,B,4,0.08231001732350722,0.7699371081624058,0.08
4027,null_equal_noise,C,6,0.0740975362274029,0.47841961202081457,0.69
4027,null_equal_noise,D,7,0.0790693245476978,0.3403301396402189,0.99
4027,null_equal_noise,E,8,0.0770282591915017,0.05301992011551322,1.0
3028,structured,A,3,0.03229333586349939,0.7965164761725962,0.06
3028,structured,B,4,0.05753469192190272,0.7071310057428848,0.13
3028,structured,C,6,0.08695644254382366,0.5308717616065297,0.59
3028,structured,D,7,0.1293150154426206,0.27970569973416864,1.0
3028,structured,E,8,0.17879547194990456,0.18376510250823352,1.0
4028,null_equal_noise,A,3,0.07690018708458232,0.7899341120012622,0.2
4028,null_equal_noise,B,4,0.07874761217698042,0.6830536751001275,0.32
4028,null_equal_noise,C,6,0.08203387904733378,0.526078271743903,0.66
4028,null_equal_noise,D,7,0.08022271096782689,0.34493260233361145,0.93
4028,null_equal_noise,E,8,0.07466295571839111,0.10756795660801136,1.0
3029,structured,A,3,0.031102591431237586,0.7793100515177581,0.09
3029,structured,B,4,0.05832344397363953,0.6666128834206162,0.21
3029,structured,C,6,0.0892271132434534,0.553936494549188,0.53
3029,structured,D,7,0.12857416181060455,0.27436856499877066,1.0
3029,structured,E,8,0.1754489913979122,0.050113755755551076,1.0
4029,null_equal_noise,A,3,0.08151631961029261,0.805731521189916,0.05
4029,null_equal_noise,B,4,0.07949877960586703,0.7546008584515407,0.1
4029,null_equal_noise,C,6,0.0813386859766328,0.45408057478984676,0.7
4029,null_equal_noise,D,7,0.08103233765885004,0.29019291368709715,1.0
4029,null_equal_noise,E,8,0.08027321047371169,0.1239418402490493,1.0
3030,structured,A,3,0.0323934470862248,0.7535179687016245,0.19
3030,structured,B,4,0.05664193972672037,0.7453300516367054,0.18
3030,structured,C,6,0.08411024882258711,0.5414463065829483,0.62
3030,structured,D,7,0.11942523771479471,0.3948499300499673,0.95
3030,structured,E,8,0.16434692924326322,0.08939861144936415,1.0
4030,null_equal_noise,A,3,0.08309366044429586,0.7718232455331393,0.09
4030,null_equal_noise,B,4,0.0768438118346821,0.7426581368669124,0.13
4030,null_equal_noise,C,6,0.08097555975139395,0.5255712058663606,0.62
4030,null_equal_noise,D,7,0.08276196235091086,0.44575858229102483,0.78
4030,null_equal_noise,E,8,0.07752419739637677,0.09888697488830621,1.0
3031,structured,A,3,0.03133036036515199,0.7962985978135159,0.04
3031,structured,B,4,0.0571722174687639,0.7202341310183697,0.1
3031,structured,C,6,0.08360845360543291,0.494636605731888,0.6
3031,structured,D,7,0.12316054926204655,0.35934075139704696,0.9
3031,structured,E,8,0.1730233079381846,0.18690401638405402,1.0
4031,null_equal_noise,A,3,0.07623807059145049,0.8181453035386466,0.06
4031,null_equal_noise,B,4,0.07860429131009278,0.7656205173577598,0.09
4031,null_equal_noise,C,6,0.07877776881717637,0.55547057735376,0.51
4031,null_equal_noise,D,7,0.08297058449788208,0.45460537603994156,0.78
4031,null_equal_noise,E,8,0.08372713551155742,0.10196352518367888,1.0
3032,structured,A,3,0.03217974347439161,0.8307245720755339,0.03
3032,structured,B,4,0.055775273622789695,0.7327124037359112,0.15
3032,structured,C,6,0.08615565823327725,0.50626641285303,0.59
3032,structured,D,7,0.1270814135052564,0.32872812313721433,0.95
3032,structured,E,8,0.1699462597071627,0.08754262562623431,1.0
4032,null_equal_noise,A,3,0.08019237713620095,0.780483149976948,0.06
4032,null_equal_noise,B,4,0.08421388900454553,0.6743167580891644,0.24
4032,null_equal_noise,C,6,0.08375096556202138,0.5224894452767869,0.49
4032,null_equal_noise,D,7,0.07758427592892188,0.3757941339884067,0.82
4032,null_equal_noise,E,8,0.0808733289339973,0.046482621754901,1.0
3033,structured,A,3,0.03182708245364791,0.823194929395703,0.06
3033,structured,B,4,0.05645568677783232,0.7381864992873048,0.12
3033,structured,C,6,0.09162927006066666,0.5182619094575999,0.63
3033,structured,D,7,0.12812773827304377,0.3995087498770448,0.88
3033,structured,E,8,0.1686392034059569,0.10154094606842563,1.0
4033,null_equal_noise,A,3,0.07771529688661825,0.7836627614704643,0.04
4033,null_equal_noise,B,4,0.0758642236070081,0.7546102298242476,0.09
4033,null_equal_noise,C,6,0.07710859696817735,0.45973049341046013,0.67
4033,null_equal_noise,D,7,0.07836619248964513,0.3096619307062081,0.96
4033,null_equal_noise,E,8,0.0871847653028594,0.15795016026420425,1.0
3034,structured,A,3,0.03205878857817539,0.7885913633357461,0.06
3034,structured,B,4,0.05795825768724498,0.6719502579916659,0.34
3034,structured,C,6,0.0900611482363204,0.534728215933349,0.53
3034,structured,D,7,0.12738112937735332,0.3033386161567569,1.0
3034,structured,E,8,0.18552003723336788,0.060713416328481415,1.0
4034,null_equal_noise,A,3,0.07606051032625272,0.788590463686293,0.05
4034,null_equal_noise,B,4,0.07674222364812286,0.6760189613103583,0.19
4034,null_equal_noise,C,6,0.073770559248743,0.5724816524144265,0.46
4034,null_equal_noise,D,7,0.08578441414856741,0.39049237414272364,0.79
4034,null_equal_noise,E,8,0.0781491191655003,0.027702030009556674,1.0
3035,structured,A,3,0.03329396018514102,0.7793160299889446,0.05
3035,structured,B,4,0.05587245348263629,0.7101887847890908,0.16
3035,structured,C,6,0.0861868531070408,0.46832618498688544,0.67
3035,structured,D,7,0.12056076794332264,0.33299047712414637,0.97
3035,structured,E,8,0.1762460255152062,0.05386920618342427,1.0
4035,null_equal_noise,A,3,0.0749883491959735,0.7921014428240188,0.12
4035,null_equal_noise,B,4,0.07894399548793656,0.6883424533687763,0.25
4035,null_equal_noise,C,6,0.0772936634979568,0.4083067494990906,0.86
4035,null_equal_noise,D,7,0.08151785929579637,0.3368097468244486,0.98
4035,null_equal_noise,E,8,0.0791819050036751,0.10891794657561642,1.0
3036,structured,A,3,0.032448912940072475,0.7650064944115772,0.09
3036,structured,B,4,0.054501297956921095,0.7010609785418593,0.15
3036,structured,C,6,0.08496498747607611,0.5209948497029242,0.62
3036,structured,D,7,0.1270293360267384,0.3131619760643389,0.98
3036,structured,E,8,0.17480666202832532,0.11805117461685803,1.0
4036,null_equal_noise,A,3,0.08014275578784226,0.7830211057032431,0.04
4036,null_equal_noise,B,4,0.07985611134679348,0.7118539840763995,0.15
4036,null_equal_noise,C,6,0.07926266559345324,0.5046427268757582,0.7
4036,null_equal_noise,D,7,0.08192445008730935,0.3809675694055196,0.9
4036,null_equal_noise,E,8,0.07919280744943265,0.15235642360007426,1.0
3037,structured,A,3,0.03197063511630276,0.7720690611014748,0.06
3037,structured,B,4,0.0579531523152441,0.7360739571329882,0.1
3037,structured,C,6,0.08932905935152387,0.5229537754079334,0.48
3037,structured,D,7,0.1358824109444759,0.4106260575209503,0.78
3037,structured,E,8,0.1861260969713595,0.0747607551744426,1.0
4037,null_equal_noise,A,3,0.07889371073086539,0.8078239835936573,0.08
4037,null_equal_noise,B,4,0.07665414394866099,0.705155719865583,0.2
4037,null_equal_noise,C,6,0.07614604552759731,0.5270247001927351,0.51
4037,null_equal_noise,D,7,0.07874485837839157,0.43422508326029324,0.72
4037,null_equal_noise,E,8,0.07838048343876057,0.026806456436636303,1.0
3038,structured,A,3,0.031862878270942765,0.7840645253998416,0.08
3038,structured,B,4,0.05444216936753608,0.626588875627198,0.37
3038,structured,C,6,0.08677944119739235,0.4654567585056052,0.76
3038,structured,D,7,0.126695296615813,0.36370991172982237,0.94
3038,structured,E,8,0.17146792554477408,0.11617810439351485,1.0
4038,null_equal_noise,A,3,0.07742693330747338,0.7721842208412564,0.05
4038,null_equal_noise,B,4,0.07956634762880936,0.7677509947825436,0.04
4038,null_equal_noise,C,6,0.08232757917920726,0.5861263251889947,0.32
4038,null_equal_noise,D,7,0.0805214054608887,0.3705187015320947,0.82
4038,null_equal_noise,E,8,0.08337353607330411,0.05355476813714349,1.0
